Row Labels,Sum of فروش,Sum of خرید
1402/01/05,5.49983E+11,1.01855E+12
1402/01/06,4.0039E+11,6.0825E+11
1402/01/07,4.55944E+11,4.7592E+11
1402/01/08,5.21119E+11,5.29912E+11
1402/01/09,5.64229E+11,6.01439E+11
1402/01/14,8.60629E+11,1.09996E+12
1402/01/15,7.26065E+11,7.72421E+11
1402/01/16,6.84669E+11,6.95629E+11
1402/01/19,9.43636E+11,8.94457E+11
1402/01/20,2.05091E+12,8.63921E+11
1402/01/21,2.47325E+12,2.2962E+12
1402/01/22,8.17748E+11,7.93778E+11
1402/01/26,1.03852E+12,7.95033E+11
1402/01/27,1.69172E+12,1.31518E+12
1402/01/28,1.19065E+12,1.22217E+12
1402/01/29,1.22856E+12,1.11185E+12
1402/01/30,1.13789E+12,1.10058E+12
1402/02/04,9.67069E+11,9.4319E+11
1402/02/05,1.16265E+12,1.1747E+12
1402/02/06,1.08278E+12,9.84653E+11
1402/02/09,1.16381E+12,1.21878E+12
1402/02/10,1.42499E+12,1.27818E+12
1402/02/11,1.67191E+12,1.25757E+12
1402/02/12,1.4158E+12,1.15382E+12
1402/02/13,1.28307E+12,1.41095E+12
1402/02/16,1.22437E+12,1.19496E+12
1402/02/17,1.19547E+12,1.27649E+12
1402/02/18,7.21079E+11,4.83091E+11
1402/02/19,1.18191E+12,1.28112E+12
1402/02/20,1.2594E+12,8.96862E+11
1402/02/23,9.53459E+11,8.45133E+11
1402/02/24,1.3187E+12,1.42613E+12
1402/02/25,9.04078E+11,1.12323E+12
1402/02/27,6.4301E+11,7.22243E+11
1402/02/30,9.24142E+11,7.68043E+11
1402/02/31,7.62624E+11,6.01863E+11
1402/03/01,9.382E+11,9.31835E+11
1402/03/02,8.60607E+11,9.01315E+11
1402/03/03,6.69015E+11,7.11605E+11
1402/03/06,7.80904E+11,7.30463E+11
1402/03/07,7.07904E+11,5.56786E+11
1402/03/08,6.55648E+11,6.94422E+11
1402/03/09,8.96727E+11,5.93319E+11
1402/03/10,6.04809E+11,6.13139E+11
1402/03/13,4.931E+11,5.16233E+11
1402/03/16,7.28355E+11,5.15605E+11
1402/03/17,4.8371E+11,5.44641E+11
1402/03/20,5.66453E+11,4.3137E+11
1402/03/21,5.02282E+11,6.277E+11
1402/03/22,6.95382E+11,9.08304E+11
1402/03/23,6.76425E+11,5.86477E+11
1402/03/24,4.79E+11,5.78929E+11
1402/03/27,5.94003E+11,4.79327E+11
1402/03/28,5.1935E+11,5.07305E+11
1402/03/29,4.4393E+11,6.04194E+11
1402/03/30,3.72054E+11,3.4875E+11
1402/03/31,9.24069E+11,4.19484E+11
1402/04/03,7.00397E+11,6.78269E+11
1402/04/04,6.23176E+11,5.54134E+11
1402/04/05,9.23252E+11,6.70887E+11
1402/04/06,6.05102E+11,4.54136E+11
1402/04/07,4.47466E+11,4.62009E+11
1402/04/10,5.72454E+11,3.89015E+11
